,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1T,G,Shai Gilgeous-Alexander,27,OKC,500,500,1,100,0,0,68,33.2,31.1,4.3,6.6,1.4,0.8,.553,.386,.879,15.2,.323,gilgesh01
1T,C,Nikola Jokić,30,DEN,500,500,1,100,0,0,65,34.8,27.7,12.9,10.7,1.4,0.8,.569,.380,.831,14.9,.316,jokicni01
1T,C,Victor Wembanyama,22,SAS,498,500,0.996,99,1,0,64,29.2,25.0,11.5,3.1,1.0,3.1,.512,.349,.827,10.0,.257,wembavi01
1T,G,Luka Dončić,26,LAL,482,500,0.964,91,9,0,64,35.8,33.5,7.7,8.3,1.6,0.5,.476,.366,.780,9.5,.199,doncilu01
1T,G,Cade Cunningham,24,DET,414,500,0.828,60,38,0,64,33.9,23.9,5.5,9.9,1.4,0.8,.461,.342,.812,7.9,.174,cunnica01
2T,F,Jaylen Brown,29,BOS,384,500,0.768,44,54,2,71,34.4,28.7,6.9,5.1,1.0,0.4,.477,.347,.795,6.9,.135,brownja02
2T,F,Kawhi Leonard,34,LAC,277,500,0.554,4,81,14,65,32.1,27.9,6.4,3.6,1.9,0.4,.505,.387,.892,9.2,.212,leonaka01
2T,G,Donovan Mitchell,29,CLE,276,500,0.552,2,85,11,70,33.5,27.9,4.5,5.7,1.5,0.3,.483,.364,.865,8.2,.169,mitchdo01
2T,F,Kevin Durant,37,HOU,241,500,0.482,0,72,25,78,36.4,26.0,5.5,4.8,0.8,0.9,.520,.413,.874,10.7,.180,duranke01
2T,G,Jalen Brunson,29,NYK,197,500,0.394,0,49,50,74,35.0,26.0,3.3,6.8,0.8,0.1,.467,.369,.841,8.8,.163,brunsja01
3T,G,Tyrese Maxey,25,PHI,168,500,0.336,0,36,60,70,38.0,28.3,4.1,6.6,1.9,0.8,.462,.367,.892,8.7,.156,maxeyty01
3T,G,Jamal Murray,28,DEN,149,500,0.298,0,27,68,75,35.4,25.4,4.4,7.1,0.9,0.4,.483,.435,.887,9.5,.173,murraja01
3T,F,Jalen Johnson,24,ATL,125,500,0.25,0,19,68,72,35.2,22.5,10.3,7.9,1.2,0.4,.489,.352,.788,7.5,.141,johnsja05
3T,C,Jalen Duren,22,DET,121,500,0.242,0,16,73,70,28.2,19.5,10.5,2.0,0.8,0.8,.650,,.747,11.0,.266,durenja01
3T,F,Chet Holmgren,23,OKC,87,500,0.174,0,8,63,69,28.9,17.1,8.9,1.7,0.6,1.9,.557,.362,.792,9.1,.219,holmgch01
ORV,F,Deni Avdija,25,POR,26,500,0.052,0,1,23,66,33.3,24.2,6.9,6.7,0.8,0.6,.462,.318,.802,7.0,.152,avdijde01
ORV,C,Karl-Anthony Towns,30,NYK,14,500,0.028,0,1,11,75,31.0,20.1,11.9,3.0,0.9,0.5,.501,.368,.858,9.5,.197,townska01
ORV,F,Scottie Barnes,24,TOR,9,500,0.018,0,0,9,80,33.5,18.1,7.5,5.9,1.4,1.5,.507,.304,.815,7.8,.140,barnesc01
ORV,G,James Harden,36,TOT,6,500,0.012,0,1,3,70,34.8,23.6,4.8,8.0,1.1,0.4,.434,.375,.884,7.7,.151,hardeja01
ORV,C,Alperen Şengün,23,HOU,6,500,0.012,0,1,3,72,33.3,20.4,8.9,6.2,1.2,1.1,.519,.305,.691,8.0,.161,sengual01
ORV,G,Stephon Castle,21,SAS,5,500,0.01,0,1,2,68,30.0,16.7,5.3,7.4,1.1,0.3,.471,.332,.734,5.8,.136,castlst01
ORV,G,LaMelo Ball,24,CHO,5,500,0.01,0,0,5,72,28.0,20.1,4.8,7.1,1.2,0.2,.407,.368,.899,6.2,.147,ballla01
ORV,C,Bam Adebayo,28,MIA,4,500,0.008,0,0,4,73,32.4,20.1,10.0,3.2,1.2,0.7,.442,.318,.778,6.4,.129,adebaba01
ORV,G,Derrick White,31,BOS,3,500,0.006,0,0,3,77,34.1,16.5,4.4,5.4,1.1,1.3,.394,.327,.902,7.0,.129,whitede01
ORV,F,Cooper Flagg,19,DAL,1,500,0.002,0,0,1,70,33.5,21.0,6.7,4.5,1.2,0.9,.468,.295,.827,3.8,.078,flaggco01
ORV,F,Brandon Ingram,28,TOR,1,500,0.002,0,0,1,77,33.8,21.5,5.6,3.7,0.8,0.7,.477,.382,.820,4.6,.084,ingrabr01
ORV,F,Evan Mobley,24,CLE,1,500,0.002,0,0,1,65,31.9,18.2,9.0,3.6,0.7,1.7,.546,.297,.606,6.5,.150,mobleev01
