,,,,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,Stephon Castle,20,SAS,200,200,1.000,100,0,81,26.7,14.7,3.7,4.1,0.9,0.3,.428,.285,.724,1.1,.025,castlst01
1st,Zaccharie Risacher,19,ATL,199,200,0.995,99,1,75,24.6,12.6,3.6,1.2,0.7,0.5,.458,.355,.711,1.8,.046,risacza01
1st,Jaylen Wells,21,MEM,195,200,0.975,96,3,79,25.9,10.4,3.4,1.7,0.6,0.1,.425,.352,.822,3.5,.083,wellsja01
1st,Zach Edey,22,MEM,173,200,0.865,73,27,66,21.5,9.2,8.3,1.0,0.5,1.3,.580,.346,.709,4.9,.165,edeyza01
1st,Alex Sarr,19,WAS,150,200,0.750,54,42,67,27.1,13.0,6.5,2.4,0.7,1.5,.394,.308,.679,-0.3,-0.007,sarral01
2nd,Kel'el Ware,20,MIA,138,200,0.690,44,50,64,22.2,9.3,7.4,0.9,0.6,1.1,.554,.315,.687,4.1,.140,wareke01
2nd,Matas Buzelis,20,CHI,97,200,0.485,15,67,80,18.9,8.6,3.5,1.0,0.4,0.9,.454,.361,.815,1.9,.060,buzelma01
2nd,Yves Missi,20,NOP,90,200,0.450,7,76,73,26.8,9.1,8.2,1.4,0.5,1.3,.547,.000,.623,3.6,.089,missiyv01
2nd,Donovan Clingan,20,POR,73,200,0.365,6,61,67,19.8,6.5,7.9,1.1,0.5,1.6,.539,.286,.596,4.0,.144,clingdo01
2nd,Bub Carrington,19,WAS,53,200,0.265,3,47,82,30.0,9.8,4.2,4.4,0.7,0.3,.401,.339,.812,0.2,.005,carrica01
ORV,Isaiah Collier,20,UTA,52,200,0.260,1,50,71,25.9,8.7,3.3,6.3,0.9,0.2,.422,.249,.682,-0.8,-0.021,colliis01
ORV,Kyle Filipowski,21,UTA,19,200,0.095,0,19,72,21.1,9.6,6.1,1.9,0.7,0.3,.502,.350,.650,2.5,.078,filipky01
ORV,Ron Holland,19,DET,17,200,0.085,0,17,81,15.6,6.4,2.7,1.0,0.6,0.2,.474,.238,.754,1.8,.067,hollaro01
ORV,Dalton Knecht,23,LAL,17,200,0.085,0,17,78,19.2,9.1,2.8,0.8,0.3,0.1,.461,.376,.762,2.7,.086,knechda01
ORV,Ryan Dunn,22,PHO,9,200,0.045,1,7,74,19.1,6.9,3.6,0.8,0.6,0.5,.430,.311,.487,1.0,.034,dunnry01
ORV,Jared McCain,20,PHI,7,200,0.035,1,5,23,25.7,15.3,2.4,2.6,0.7,0.0,.460,.383,.875,0.7,.057,mccaija01
ORV,Quinten Post,24,GSW,4,200,0.020,0,4,42,16.3,8.1,3.5,1.3,0.4,0.4,.449,.408,.778,1.7,.116,postqu01
ORV,Jamal Shead,22,TOR,2,200,0.010,0,2,75,19.6,7.1,1.5,4.2,0.8,0.1,.405,.323,.768,0.8,.027,sheadja01
ORV,Tristan Da Silva,23,ORL,1,200,0.005,0,1,74,22.0,7.2,3.3,1.5,0.4,0.2,.412,.335,.873,2.5,.073,dasiltr01
ORV,Rob Dillingham,20,MIN,1,200,0.005,0,1,49,10.5,4.5,1.0,2.0,0.4,0.0,.441,.338,.533,0.1,.012,dilliro01
ORV,Justin Edwards,21,PHI,1,200,0.005,0,1,44,26.3,10.1,3.4,1.6,1.0,0.4,.455,.363,.696,0.9,.039,edwarju01
ORV,Kyshawn George,21,WAS,1,200,0.005,0,1,68,26.5,8.7,4.2,2.5,1.0,0.7,.372,.322,.753,0.1,.003,georgky01
ORV,Reed Sheppard,20,HOU,1,200,0.005,0,1,52,12.6,4.4,1.5,1.4,0.7,0.3,.351,.338,.813,0.8,.055,sheppre01
